Sn,CODE,Department ,Degree,Hostel,Year of Graduation,City,Country,Designation,Institution,Work Profile,,
313,MG 125,Electrical,M.Tech,1,1985,Bangalore,India,Co-Founder Director,Ubiqare Health Private Limited,"Co-founder Director of Ubiqare Health Private Limited,Over the past 32 years he has engaged in Research, Innovation & Path-finding, Product Development, Solution Engineering, Technology Management, Strategy and Organizational Leadership at national and global levels. The fields covered are Industrial Automation, Power Plant Controllers, Fault Tolerant Systems, Co-generation systems, Consumer Electronics, Semiconductors, Telecommunications. Currently leading a startup in Healthcare.",,
314,MG 126,sJM SOM,MOM,Na,2004,Mumbai,India,Delivery Partner,TCS,SAP Consultant at TCS, Business and ERP solutions in Manufacturing Industry,
315,MG 127,SOM ,M Mgmt,H13,2010,Mumbai,India,Senior Manager,Boehringer Ingelheim,Senior Manager at Boehringer Ingelheim(Working in digital Marketing).Former Digital Strategist at CIPLA.,,
316,MG 128,MECHANICAL ENGINEERING,B.Tech,3,2008,Mumbai,India,AVP - Business Development,Aditya Birla Capital,AVP - Business Development at Aditya Birla Capital. Sales & Business Development,,
317,MG 129,MEMS,B.Tech,6,2012,Mumbai,India,Sales Manager,IBM India Pvt Ltd,"Presently working as Sales Professional at IBM India Pvt. Ltd.Worked with Flipkart in Social Media Marketing during autumn internship at SPJIMR.
Before MBA, worked at Monnet Ispat & Energy Limited as Assistant Manager, Sales and Marketing in Delhi and Maharashtra region for 19 months. ",,
318,MG 130,Systems and Control,M.Tech,11,2010,Ahmedabad ,India,MBA student,Nanyang Business School,"Pursuing MBA from Nanyang Business School Over 10 years of technology and leadership experience in automotive industry. Worked with teams from India, Japan, US and France. Have contributed in the areas of digital control, embedded systems, connected cars, and telematics services for Fortune 500 companies.",,
319,MG 131,Electrical Department ,M.Tech,6,2006,Mumbai,India,Program Manager,L&T ,"Program Manager (working as in Core Engineering, consultancy and services industry irrespective of any domain) in L&T. ",,
320,MG 132,Shailesh J Mehta School of Management,Master of Management,H-1 & H-12,2012,Jaipur,India,Founder,Atharvva Wellness Private Limited,"Founder of Atharvva Wellness Private Limited-Currently, working in the process of starting out a product startup.Former Distribution Manager at White Owl Brewery.",,
321,MG 133,EE,B.Tech,10,1985,Mumbai,India,Customer Success & Sales Advisor,kPoint,"Sr Consultant in RAIN Group,Mumbai.Former Customer Success & Sales Advisor in kPoint Technologies,Mumbai.Former Vice President at Worxogo,Mumbai.",,
322,MG 134,Electrical Engineering,Dual,H8,2002,Hyderabad,India,COO,Kenyt.AI,"Working on AI Powered Domain Experts (AiDE) – Intelligent bots helping businesses deeply engage withtheir customers through human-like experience. I am currently COO, taking care of Sales and operations at Kenyt. Taken technical roles as well in past. Can guide the mentee on related or general topics.",,
323,MG 135,SoM,MMgmt,H14,2012,Mumbai,India,Senior Manager - Procurement,Kellogg,Senior Manager at Kellogg. SCM/Procurement/Management. Worked at Mondelez International previously.,,
324,MG 136,Metallurgy and materials science,B.Tech,9,2002,New Delhi,India,"Director, Business Development",Innovaccer,"Experienced professional with strong consulting, marketing & business development skills. Previously worked as Indian alliance lead for VMWare in Dell",,
325,MG 137,Biomedical Engg( now Biotech) ,PhD,One,1994,Bangalore ,India,CEO,PlasmaGen BioSciences,"Extensive experience in plasma product industry. Responsible for conceptualizing, establishing and growing the business of plasma products for INTAS group of companies. Worked single handedly on exceptionally complex, intricate and challenging project of plasma fractionation from plasma procurement to product delivery.",,
326,MG 138,Civil Engineering ,B.Tech,H-7,2000,Hyderabad ,India,Senior Manager ,Mytrah Energy Ltd ,"Head of Project Management at Mytrah Energy, Hyderabad.Former AVP-EPC at Greenworld Buildcon,Mumbai.Former Senior Manager - EPC Projects at Waaree Group,Mumbai.",,
327,MG 139,MEMS,B.Tech,9,2009,Mumbai,India,CEO,Edhola,"Founded Edhola, a company that intends to act as a tunnel connecting the best students and the best universities abroad. Has experience in Entrepreneurship, Management, Education Industry

",,
328,MG 140,Chemical Engineering,B.Tech,3,2014,Bangalore,India,Head - India Operations,Unikorn Inc," Serving as Head in India Operations at Unikorn Inc , leading company's India operations, business development and product management. Was a CEO of BuildTraders earlier after acquisition of Cozilla. Was a core team member in Ample Wholeasle,have vast experience in-start up in operations, product and sales field.",,
329,MG 141,Electrical Engineering,Dual,H4,2006,Pune,India,Manager,Vodafone,"Project Manager, Six Sigma Black Belt Company in Vodafone, Pune. Former Manager - Business Excellence at Tata Communications. Former Manager - SIIG Quality at ICICI Bank. Is a certified Black Belt and has total experience of 8.5 years in quality domain - Strategic Quality & Process Improvement, Project Management.",,
330,MG 142,Chemical,B.Tech,8,1976,Mumbai,India,CEO Coach,Self Employed,"1977-2018: Worked in various Businesses of the Aditya Birla Group, within India and Abroad. Last two positions were Manufacturing Heads of Hindalco and Ultratech Cements.
2014-18: Global Mentor for Manufacturing Businesses of Aditya Birla Group. Mentored 100+ persons from GM to Presidents.
Currently retired.CFI Accredited CEO Coach. ",,
331,MG 143,SOM,M. Mgmt,H14,2012,Mumbai,India,Sr Manager,Reliance Power,"Senior Manager at Reliance Power,Mumbai.Procurement and logistics of 7 lakh tons of coal per month.Major area of work is railway logistics and procurement processes.",,
332,MG 144,SJMSOM,Master of Management,H 13,2013,Pune,India,Investment Specialist,ICICI Bank Ltd,"Investment Portfolio Designing and Management.  Specialised in Portfolio Management for HNI clients. AMFI and IRDA certified. Worked with companies like Foseco, Future Group, Larsen & Toubro Limited",,
333,MG 145,SOM,Master of Management,12,2005,Bangalore,India,IT Manager,Philips,"IT Service Manager and former OCC E2E Lead ( Senior Project Manager) at Philips Lighting,Bangalore.Former Project Manager at Wipro Technologies.Major area of work is IT Service Management, SAP Consulting and Supply Chain Management.",,
334,MG 146,School of Management,Master of Management,H10,2013,Toronto,Canada,Manager,Toronto Dominion Bank,"Manager,Digital product and technology unit in Toronto Dominion Bank.Worked as product manager in IndusInd Bank.Interested in Management,Product marketing & Financial Services.",,
335,MG 147,HSS,PhD,H11,2009,Mumbai,India,Deputy General Manager,Tata Services Ltd,"Deputy General Manager,Tata Group HR at Tata Services,Mumbai.Former Human Resources (Corporate) at Saint-Gobain.Manager - HR and former research associate at Larsen & Toubro Limited.Former Academic Associate at IIM Ahmedabad.",,
336,MG 148,Chemical Engineering,B.Tech,5,1982,mumbai,india,Faculty and HOD -Operations,Sydenham Management Inst,"Consultant at IIP Mumbai, Logistics co., Faculty and HOD -Operations at Sydenham Management Inst, Been the Deputy Director at M. E. T. Institute of Management",,
337,MG 149,electrical,M.Tech,One,1969,NEW DELHI,india,Founder DSP Technologies,DSP Technologies,founder of DSP technologies.experience in Sales & Marketing of state of the art Electronic Components in Defence & Aerospace Industry,,
338,MG 150,CSE,B.Tech,2,1999,Mumbai,india,Leader / Practice Head,Praxis global Alliance,"Before MBA, worked at Monnet Ispat & Energy Limited as Assistant Manager, Sales and Marketing in Delhi and Maharashtra region for 19 months.",,
339,MG 151,Electrical Engineering,B.Tech,8,2006,Mumbai,India,Deputy Head,Trent Limited,Deputy head at trent limited.Have experience in Inventory Planning and Business Intelligence,,
340,RS 101,Aerospace,M.Tech,Hostel 6,2005,Bangalore,India,Scientist,Csir nal,"Scientist in Csir nal,Bangalore.Main area of work is simulation of internal fluid flows for IC engines. ",,
341,RS 102,Civil,B.Tech,2,2017,West Lafayette,USA,Graduate Student Assistant,Purdue University,"Graduate Research Assistant in Purdue University.Former Core Software Developer Fluidyn,Bengaluru.Former ISMP Mentor at  IIT Bombay.",,
342,RS 103,EE,Dual,8,2008,San Jose,USA,Senior Device Engineer,Intel Corp.,"Research in semiconductor devices, Currently, Senior Device Engineer at Intel Corp.",,
343,RS 104,Electrical,Dual,6,2016,Tokyo,Japan,Researcher,NEC,researcher at nec in field of IoT,,
344,RS 105,Mechanical Engineering,B.Tech,4,2012,BALTIMORE,United States,Research Assistant,Johns Hopkins University,"Research Assistant in Johns Hopkins University,Baltimore,USA.Is doing research on autonomous robots, major area of interest is robotics.",,
345,RS 106,Metallurgical Engg. & Material Sci,B.Tech,7,2009,Zurich,Switzerland,Doctoral Candidate,ETH Zurich,Doctoral Candidate at ETH Zurich.He is a researcher in the field of Machine learning & Data Science.Worked at freelance Data Scientist in ZipGo.,,
346,RS 107,Aerospace Engineering,B.Tech,8,2000,Chennai ,India,Product Manager,Forbes Marshall,"Currently  product manager at forbes marshall.I  manage a team in R&D to conduct research on steam products, develop them and release in the market.",,
347,RS 108,Computer Science and Engineering,M.Tech,H11,2009,"Pittsburgh, PA",USA,Ph.D. Candidate,Carnegie Mellon University,"Ph.D. candidate in Carnegie Mellon University,Pittsburgh.Former Research Intern at Yahoo and former Technical Staff Member / Software Engineer in Research IBM Research - India,Bangalore.Working on improving Recommender Systems and Personalization using Deep Learning at CMU. Research interests are broadly in the areas of Machine Learning, Data Mining, Web Search Engines, Semi-supervised & Unsupervised Learning, Natural Language Processing, Social Media Analysis and Big Data Analytics.",,
348,RS 109,MECHANICAL,M.Tech,H 12,2011,JAIPUR,INDIA,MANAGER,HERO MOTOCORP LTD,6 years experience in R&D. Worked for design of chassis for Land Rover's Discovery sports and Hero' Maestro Edge ans Duet,,
349,RS 110,Mechanical ,M.Tech,13,2010,Thuwal,Saudi Arabia,PhD Candidate ,Kaust,"PhD Candidate form KAUST.Combustion researcher with expertise in chemical kinetics, surrogate fuel design and engine development.Worked as Manager-Engine development and calibration in TATA Motors.",,
350,RS 111,School of Bioscience and Bioengineering,M.Tech,H 12,2005,Bengaluru,India,Scientist,Philips Reaeach,"Sr. Scientist-C at Philips .Research in the area of Health-care technologies, with focus area on data analytics, data mining and machine learning. Development of statistical based predictive models for forecasting of component failure of MRI devices",,
351,RS 112,Aerospace,M.Tech,H12,2004,Thiruvananthapuram ,India ,Project Manager,VSSC/ISRO,"Aerospace structural design, testing, vibration, acoustics -testing, fabrication, metallurgy. Currently, Project Manager at ISRO",,
352,RS 113,Aerospace Engineering,B.Tech,H-10,2008,Orlando,United States ,Computational Fluid Dynamicist,Siemens PLM,"Computational Fluid Dynamicist at Siemens FLM. I have a PHD from Georgia Tech in AE. Expert in rotory wing aerodynamics, CFD, aeroelasticity and multiphysics. ",,
353,RS 114,Bioscience and bioengineering ,PhD,H1,1998,Aurangabad ,India,Associte Vice Precident,Woclhardt,Associte Vice Precident at Wockhardt.Former Research Scientist at Aurigene Technologies(Research in Biotechnology and Pharmaceutical),,
354,RS 115,Biosciences,MSc.,13,2008,Paris,France,Postdoctoral Scientist,ESPCI Paris,"Directed protein evolution, RNA networks, Droplet microfluidics, Lithography, Microfabrication Origin of Life, Also was Postdoctoral Fellow at University of Heidelberg",,
355,RS 116,Biotechnology,MSc.,H4 and H13,2004,New Delhi,India,Senior Research Scientist,Bharat Petroleum Corporation Limited,Senior Research Scientist at  Bharat Petroleum Corporation Limited. ,,
356,RS 117,Chemical Engineering,B.Tech,3,1994,Pune,India,Principal Scientist,CSIR-National Chemical Laboratory,Principal Scienrist at CSIR-National Chemical Laboratory. Research and teaching,,
357,RS 118,Chemical Engineering,B.Tech,2,2006,Indianapolis,USA,Sr. Formulation Scientist,"Exelead, Inc","Sr. Formulation Scientist at Exelead, Inc, was former Research fello at University of Michigan(Developed liposomal and micronized formulations of weakly-basic small molecule drugs for diagnosis and therapy of inflammatory disorders- with specialized skills in nanomedicine, biophysical characterization, biochemical engineering, chromatography and biopharmaceutical analysis), worked as Senior Process Eng at Orchem Technologies Inc USA",,
358,RS 119,Chemical Engineering,B.Tech,H-13,2007,Bengaluru,India,Researcher,Thamate (NGO),"A Doctoral Student from IIM, Bangalore. I do research and documentation for an organization based in Tumkuru, Karnataka working towards eradication of the practice of manual scavenging",,
359,RS 120,Chemistry,PhD,1,1997,Thiruvananthapuram,India,Principal Scientist and Head [Phytochemistry],Jawaharlal Nehru Tropical Botanic Garden and Research Institute,Principal Scientist and Head [Phytochemistry] at Jawaharlal Nehru Tropical Botanic Garden and Research Institute. ,,
360,RS 121,CIVIL ENGINEERING,PhD,H-11,2010,VALLABH  VIDYANAGAR,INDIA,PROFESSOR,"MARWADI EDUCATION FOUNDATION GROUP OF INSTITUTION, RAJKOT","Professor at MARWADI EDUCATION FOUNDATION GROUP OF INSTITUTION, RAJKOT with a study in structural control using passive energy dissipation devices. ",,
361,RS 122,Civil Engineering,B.Tech,10,2012,College Park,United States,PhD candidate,"University of Maryland, College Park","PhD candidate at University of Maryland, College Park,USA. Interested in research,atmosphere and ocean science",,
362,RS 123,Civil Engineering,Dual,9,2012,Berlin,Germany,PostDoc,GeoForschungsZentrum Potsdam ,PostDoc at GeoForschungsZentrum Potsdam. Research Interests: Seismic Hazard and Risk Dynamics,,
363,RS 124,CSE,B.Tech,7,2012,Boston,USA,PhD. Student,Masschusetts Institute of Technology,"I am a PhD. student at MIT, with my research focusing on theoretical computer science, in particular, computational complexity theory. Most recently, I have been performing research to understand the theoretical underpinnings of modern machine learning systems, such as, artificial neural networks.",,
364,RS 125,CSE,M.Tech,H6,1985-86,Pilani,India,Chief Scientist,CSIR-CEERI,"Chief Scientist at CSIR-CEERI. Over 30 years experience of R&D and teaching in areas covering computer science, microelectronics, embedded systems, etc. At CSIR-CEERI, Pilani since 1988. Headed the IC Design Group of 12-14 R&D scientists (November, 2003 to March, 2017). This group has since been split and seeded three separate R&D groups. In addition, I have been the nodal officer for two major projects related to Nano-electronics during 2012-2017 and coordinated (as an alternate nodal officer) a supra-institutional project on ""Technology Development for Smart Systems"" as during 2007-2012.",,
365,RS 126,CSRE,PhD,H9,2016,Nashik,India,Executive Engineer,"Water Resources Department, Govt. of Maharashtra","Design of Water Resources Structures, Hydrology, Remote sensing and GIS, Dam Safety Organisation",,
366,RS 127,Dept. of Earth Sciences,M.Tech,H6,2003,Mumbai,India,Senior Petrophysicist,Schlumberger,"Senior Petrophysicist at  Schlumberger.Expertise in Sonic and Nuclear Magnetic Resonance (NMR) interpretation.Involved in detailed subsurface formation evaluation using different petrophysical well-logs and integration with geological, geophysical, reservoir engineering and production data for better understanding and smart exploration of hydrocarbon reservoirs .",,
367,RS 128,Earth Sciences,PhD,Tulsi Bulding,2007,Jamshedpur,India,Senior Technical Officer,"CSIR- National Metallurgical Laboratory, Jamshedpur"," My research activities comprises evaluation of coal core and coal, mineral beneficiation, agglomeration and eco-friendly urban ore (EoL-EEE) recycling with special emphasis on beneficiation of low grade ores fines/coal sample, slimes and secondary resources, including e-waste. My current research focuses on the utilization of low grade ores and recycling of valuable and rare metals from urban ore /end-of-life electrical and electronic equipments (EoL-EEE) adopting physical recycling. A number of technologies have been researched or evolved and successfully transferred to industries related to processing of iron ore, coal and secondary waste recycling. I hold 4 national and international patents and have also authored over 100 referred articles and reports. Research Team of CSIR-NML, under my leadership of project, has received ECO RECO Innovative Award for the development of commercially viable processes and environmentally acceptable solution for the recycling of discarded assets having rich metal contents. 
My proactive involvement and painstaking nurturing efforts in the team work of CSIR-NML, especially enabled by my passion in achieving the goal of benefitting my Institution-CSIR-NML has to a large extent facilitated considerable revenue generation during the last five years from various projects and knowledge exchange programs, particularly from  Korea Institute of Geoscience and Mineral Resources, Republic of Korea, IIT Kharagpur, IIT(ISM) Dhanbad, NIT Jamshedpur and ECO RECO, Mumbai-and ADV, Delhi etc. 
",,
368,RS 129,EE,M.Tech,H4/H12,2003,Toronto,Canada,Innovation Architect,Spin Master,Innovation Architect at Spin Master(working on Pushing boundaries of consumer products with AI & CV).Former Director of technology Development in Fugro Roadware.,,
369,RS 130,EE,M.Tech,1,2014,Washington DC,United States,"PhD Candidate, Research Assistant",University of Maryland at College Park,"PhD Candidate, Research Assistant in University of Maryland at College Park, with a research interest in Cryptography.",,
370,RS 131,Electrical,M.Tech,Not staying in hostel,2007,Bangalore,India,Asst. General Manager,VOLVO INDIA PVT LTD,Asst. General Manager at Volvo India Pvt Ltd. Automotive Electrical and Electronics and Telematics. Worked at Force Motors and Mahindra & Mahindra previously.,,
371,RS 132,Electrical,M.Tech,13,2015,Bengaluru,India,Application engineer,COMSOL,Application enigineer at COMSOL.expert in Simulation and modelling of electromagnetics applications,,
372,RS 133,Electrical Engineering,B.Tech,7,2016,Bangalore,India,Senior Software Engineer,Samsung R&D Institute Bangalore,"Experienced Software Engineer with a demonstrated history of working in the consumer electronics industry. Skilled in Python, C++, LaTeX, Writing, and Matlab. Strong engineering professional with a Bachelor’s Degree focused in Electrical, Electronics and Communications Engineering from Indian Institute of Technology, Bombay. Research interests include signal and image processing, computer vision and machine learning.",,
373,RS 134,Electrical Engineering (ECE),PhD,H-12,2010,Bhubaneswar/Bangalore,India,"Senior Scientist, TCS Research & Innovation",Tata Consultancy Services,"Senior Scientist in TCS Networks Lab, Bangalore.Former Associate Professor (Electronics Engg.) in KiiT University.Former Associate Manager at UshaComm.Has done research in the areas of 5G, Communication, Networking, SDN, Standardization, Robotics, Affordable Communication and Health Care.",,
374,RS 135,Electrical Enineering,Dual,8,2005,"Rochester, MN",USA,Senior Scientist,Siemens Healthineers,Senior Scientist at Siemens Healthineers. PhD from University of Wisconsin-Madison,,
375,RS 136,ENERGY SCIENCE AND ENGINEERING,M.Tech,12,2009,New Delhi,India,Manager - R&D,Bharat Petroleum Corp. Ltd.,"Manager-R&D,Bharat petroleum Corp",,
376,RS 137,Energy science and engineering ,M.Tech,12,2005,Gurgaon ,India ,Global Advisory Expert,Siemens ,Technical due diligence of power plants. Performance assessment and flexibilization. Thermal Performance evaluation and strategies to integrate Digitalization,,
377,RS 138,Integrated Chemistry,Dual,9,2005,New Delhi,India,Scientist,CSIR- National Physical Laboratory,Scientist in CSIR-National Physical laboratary working g on Nano-electronic devices and Quantum Metrology. Scientific research in the field of Physical Sciences is my broad area.Former Seniour Process Eng at Intel Corp.Was a Graduate Researcher form Pennsylvania State University.,,
378,RS 139,ME,B.Tech,"1 (for 2 years 1960-62), 5 (1.5 years 1962 - Dec. 63)",1964,Mumbai,India,"Professor (Retd.), IIT Bombay - Departments of CSE and BSBE","Retired from IIT Bombay in 2005, extended as Adjunct Professor to June 30, 2014","1978-2014 : Research and teaching in CSE and BSBE:  Intelligent systems in engineering, management and medicine; systems modelling and optimization, algorithms",,
379,RS 140,Mechanical,Dual,4,2010,Aurora,US,Engineer,Fermilab,"Engineer at Fermilab, Greater Chicago area. Worked as a Graduate Research Assistant at the National High Magnetic Field Laboratory.",,
380,RS 141,Mechanical engineering,Dual,8,2012,London,UK,Postdoctoral Research Associate,Imperial College London,"Research in musculoskeletal biomechanics and orthopaedics. Happy to help students interested in pursuing core mechanical engineering or bioengineering, or even further studies/research (Masters, PhD, PostDoc) in general.",,
381,RS 142,Metallurgical Engineering and Materials Science,Dual,6,2012,"Upton, NY",USA,Postdoctoral Research Associate,Brookhaven National Laboratory,"Researcher in Micro/Nano-fabrication & Semiconductor Devices; PhD in Solid State Electronics and Nanoscale Science; Development of micro/nano-fabrication processes for display technology, field effect transistors, optoelectronic devices, and sensors; Experties in cleanroom based thin films and nanostructured materials processing and characterization as well as consulting on process development",,
382,RS 143,Metallurgical Engineering and Materials Science,B.Tech,H 10,2013,Stony Brook,United States,PhD candidate,Stony Brook University,Materials Scientist with 5+ years of experience in nanoparticle synthesis and characterization. Experienced in career guidance and graduate school application process in the US.,,
383,RS 144,Physics,B.Tech,3,2011,Madison,United States,Postdoctoral Fellow,UC Berkeley,I work with Prof. George Fuller at the Center for Astrophysics and Space Sciences. My research interests include neutrino and particle astrophysics and cosmology.,,
384,RS 145,Physics,PhD,H-2,2008,Ropar Punjab ,India ,Assistant Professor ,IIT Ropar,"Assistant Professor in IIT Ropar.Has done research on physics, photonics, nano-optics and meta-materials.",,
385,RS 146,School of Biosciences and Bioengineering,PhD,6,2005,Bangalore,India,Senior Scientist,Tata Institute for Genetics and SOciety,"Senior Scientist at Tata Institute for Genetics and Society. Heading the Protein sciences team . PhD grad from IIT Bombay with 11+ years experience in a Drug Discovery company, currently involved inestablishing protein production/characterization unit at TIGS",,
386,RS 147,Systems and control engineering,M.Tech,"7, 12",2013,Minneapolis,United States,PhD student ,University of Minnesota ,"Graduate Research Assistant at University of Minnesota, Minneapolis. Former Systems Validation Engineer at Cypress Semiconductor Corporation,Bengaluru. Former Graduate Teaching Assistant at IIT Bombay.Interested in Single molecule biophysics and machine learning .",,
387,RS 148,CESE,M.Tech,"9, 12",2014,Singapore,Singapore,PhD Candidate,Singapore University of Technology and Design,"Phd student at singapore institute of technology.Have experience in Design Thinking, Product Ideation to Prototypes, Design Research Methodology, Circular Economy and Sustainability.",,
388,RS 149,Chemical,Dual,6,2013,Hyderabad,India,Scientist,Dr Reddy's laboratories,"Experienced Process Engineer with a demonstrated history of product development in the pharmaceuticals industry. Skilled in Mathematical Modeling, Aspen Plus, Batch Processing, C++, and Aspen HYSYS. Strong research professional.",,
389,RS 150,Chemical Engineering,Dual,2,2005,Bangalore,India,Global Product Manager - Digitalization for process industries,ABB,"Chemical engineering, process control, optimization, research in corporate world, product management role, how to climb corporate management ladder",,
390,RS 151,Chemical Engineering,B.Tech,Hostel 3,2017,Pune,India,Lab Manager,Centre for Experimental Social Sciences Nuffield - FLAME University,"Lab Manager and former research associate at CESS Nuffield-FLAME Univeristy(India's first behavioural research center),working at the crossroads of sociology, political science, applied economics and other related fields.Summer Associate | Business Intelligence and Strategy at The Walt Disney Company and Aditya Birla Group.",,
391,RS 152,CSE,B.Tech,H6,2012,Singapore,Singapore,Assistant Professor,National University of Singapore,"Assistant Professor in the Computer Science Department of School of Computing at National University of Singapore. The broader goal of our research is to advance artificial intelligence techniques, which utilize ubiquity of data and formal methods, to enable computing to deal with increasingly uncertain real-world environments",,
392,RS 153,Energy Sciences,PhD,I & II,2005,Gurgaon,India,Director,Mega Zing Solutions Pvt. Ltd.,Director ofMega Zing Solutions Pvt. Ltd.(MZSPL offer research & consulting services in Energy & Water Sector and Climate Change Adaptation and Mitigation).Former Principal Invetigator at USAID.has worked with the Global Deloitte Team.,,
393,RS 154,Mechanical Engineering,Dual,4,2006,San Jose,USA,Principal Engineer,Western Digital,"I am a trained mechanical engineer with 7 years of experience as R&D engineer HDD technology. My current responsibilities involve development of reliability solutions for products with high recording areal density. During my current role, I have acquired experience with bench level testing and design of experiments. Previously, I have completed my doctoral studies from UC Berkeley, where my research was focused on the numerical evaluation of HDDs robustness during a mechanical shock.",,
394,RS 155,Aerospace Engineering,PhD,Hostel 1,1998,Pune,INDIA,Ernst & Young LLP,Leading Management Consulting Firm ," Experience in setting up, mentoring and growing a new R&D / Development group
>> Cross-cultural experience gained through various long and short term assignments in US, 
Europe and APAC regions
>> Program Management 
>> Automotive and Off-road Vehicle Development
>> Automotive Powertrain and Drivetrain Development
>> Fatigue and Fracture Life Prediction & Failure Analysis
>> Reliability assessment of interconnect structures in automotive electronics
>> Damage Tolerance Analysis of Gas Turbine Hot Section Components
>> Structural Integrity & Durability Simulation for Automotive Engine, Transmission, and Vehicle 
(BIW, Chassis), Structures
>> Simulation Methods Development and Simulation Process Automation
>> Precision Manufacturing
>> Additive Manufacturing",,
395,RS 156,CESE,PhD,1,2008,BHOPAL,INDIA,SENIOR PRINCIPAL SCIENTIST ,CSIR-AMPRI,"Senior Principal Scientist at CSIR-AMPRI.29 years experience on Materials Science, Civil and Environmental engg, Natural Resource  Management, Industrial and Agro Waste Management, Alternative Building Materials.",,
396,RS 157,chemistry,PhD,h1,2010,Navi mumbai,India,Senior manager,reliance industries limited,"Scientist, Research Technology Group ( Refinery) at Reliance.Was PostDoc fellow at the University of Witwatersrand. Specializes in Heterogenous catalysts and zeolite supports.",,
397,RS 158,CHEMISTRY,PhD,H-11,2006,lucknow,India,SCIENTIST,CENTRAL DRUG RESEARCH INSTITUTE,Scientist in Central Drug Research Institute.Has done commendable work in academic and industrial research.,,
398,RS 159,EE,PhD,External,2002,Bangalore,India,Technology Director ,Aeronautical Development Agency ,Technology Director in Aeronautical Development Agency. Has done commendable work in R&D.,,
399,RS 160,Elect Engg,B.Tech,5,1978,Bangalore,India,CEO,SankhyaSutra Labs Pvt Ltd,"Chairman and CEO of SankhyaSutra Labs Pvt Ltd (SankhyaSutra Labs is the first company incubated by Jawaharlal Nehru Centre for Advanced Scientific Research, an institute funded by the Dept. of Science & Technology. Using the breakthrough technology,aims to be world leaders in scientific computing).Former Director of parallel computing research in Intel.",,
400,RS 161,Electrical Engineering,B.Tech,3,1974,Singapore,Singapore,Professor,"Johns Hopkins University, National University of Singapore","Professor, Biomedical Eng, Johns Hopkins Univeristy. I teach and do research in the field of Biomedical Engineering. My primary interest and expertise is in the field of Medical Instrumentation, Micro/Nano Technologies, Brain Research in the field of Neuroengineering. I am interested in developing higher education teaching and research material, global collaborations, and translation of basic research to clinical/medical applications and industrial use. Specialties: Research on medical devices and instrumentation. Brain research. Engineering instrumentation and technologies for brain research. Teach medical devices, sensors, instrumentation, and micro/nanotechnologies.",,
401,RS 162,Electrical Engineering,PhD,H1,1997,Mumbai,India,Principal Scientist,TCS Research and Innovation - Mumbai,"Principal Scientist in TCS Research and Innovation-Mumbai.R&D in the areas of Speech, Script, Image and Natural language Processing.",,
402,SC 101,Aero,M.Tech,4,2010,Mumbai,India,CEO,Health Care Company,"Presently, CEO of two companies in health care space( One in stealth mode). Founding Member and VP -Strategy & Growth @Syncapp, Inc.AVP at Toppr ( 2015- 16) . Founder of Manch- an edtech startup (acquired by Toppr.com)
 (2013–2015)",,
403,SC 102,Chemical,M.Tech,14,2013,gurgaon,India,Senior Conusltant,EY,"A growing individual in the Supply chain Analytic field. Using Supply chain core knowledge and experience and also technically expertise of analytic and data intelligence to come upwith better business solutions, been the Supply Chain Planner at General Mills",,
404,SC 103,SOM,M.Mgmt.,1&12 ,2014,Mumbai,India,Manager,Tandon Group,Manager at Tandon Group. Previously Senior Consultant at Capgemini,,
405,SC 104,Chemical Engineering,B.Tech,5,2016,Delhi,India,Program manger,OYO rooms,"Career in product management, technology, operations and general management.  Led cross-functional teams to launch products that transform customer experience and improve operations primarily in communication and high tech manufacturing verticals",,
406,SC 105,EE,B.Tech,2,1979,San Jose,USA,Retired,Retired,"Freelance Consultant with expertise in Business, Technology, Engineering, Execution and Operational aspects of semiconductors and consumer electronics",,
407,SC 106,Mechanical ,B.Tech,3,1970,Mumbai,India ,Partner,LCB Sourcing ,Consultant assisting Indian and Overseas SMEs to work together in the manufacturing sector ,,
408,SC 107,civil engineering,B.Tech,6,2011,delhi,India,Associate,CHAI,"Associate at CHAI. Former Manger with Grail Research (ex-Monitor Group) and has worked across a wide variety of industries such as Consumer Goods, Retail, Technology, and Telecom.Did MBA from IIM Ahmedabad",,
409,SC 108,Electrical Engineering,B.Tech,4,2013,Mumbai,India,Manager ,Mahindra ,Works in Mahindra group as a manager in the strategy office. Experience in Strategic consulting. Previously worked at Vodafone as assistant manager in charge of innovation-IT.,,
410,SC 109,CSE,B.Tech,H3,1988,Pune,India,Founder Partner,"DiNiSan Advisors, LLP (midasinsights.com)","High-end Enterprise Consultants. Consulting on Selling to the CXO league - One-on-one CEO Coaching - ProductStrategies (for the IT Industry) For Individuals: - Breakthrough Coaching on ""My Relationship with myMoney"" - One-on-one Coaching to overcome Life Challenges",,
411,SC 110,Engineering Physics,B.Tech,9,1997,Fremont,United States,Sr Manager - Marketing Strategy,Western Digital,"Sr Manager - Marketing Strategy at Western Digital. Strategic Marketing - Investigate big trends in technology and markets and relate it to company's product offering, conceptualize new products based on market direction and ensure company's involvement in industry groups. Product Marketing - Coordinate Sales, Customers, Engineering and Management to launch new products and opportunities, respond to RFI/RFPs, sales training using webinars etc. Primary/Secondary Market Research in Electric Vehicles, Battery, Flash memory modules markets. MBA with focus on Marketing/Strategy and Clean Technology. Certifications: Advanced International Management and Leaders in Sustainability. 10+ years of Management and Engineering experience. MS in Electrical Engineering with the focus on Semiconductors and Solar Cells",,
